UserID,Gender,Age,CAP,Work
1,F,11,20023,Studente
2,M,13,72022,Studente
3,M,24,36100,Autista
4,M,37,85024,Data Engineer
5,M,15,01010,Studente
6,F,36,00153,Data Scientis
7,M,24,15067,Dirigente
8,M,28,44020,Avvocato
9,M,11,10126,Studente
10,F,65,09010,Dirigente
11,F,60,09078,Dirigente
12,M,31,95127,Avvocato
13,M,13,20139,Studente
14,M,14,00018,Studente
15,M,37,45030,Data Engineer
16,F,43,09078,Disoccupato
17,M,46,32030,Dirigente
18,F,26,33013,Direttore
19,M,32,86020,Studente
20,M,37,47924,Ingegnere
21,M,31,00125,Attore
22,M,45,34149,Autista
23,M,19,14025,Disoccupato
24,F,43,35031,Data Engineer
25,M,16,33050,Studente
26,M,30,10126,Data Engineer
27,M,51,32030,Infermiere
28,F,26,20139,Dirigente
29,M,24,83030,Data Engineer
30,F,56,80038,Data Engineer
31,M,18,27024,Data Engineer
32,F,25,73020,Disoccupato
33,M,16,25123,Studente
34,F,14,95127,Studente
35,M,17,26100,Studente
36,M,19,83030,Direttore
37,F,36,32030,Data Scientis
38,F,14,44020,Studente
39,M,39,27024,Data Analyst
40,M,50,22072,Disoccupato
41,F,45,33048,Data Analyst
42,M,14,20023,Studente
43,M,50,47924,Avvocato
44,M,64,01010,Programmatore
45,F,22,03100,Attore
46,M,24,71032,Musicista
47,M,35,09010,Data Analyst
48,M,25,17021,Data Analyst
49,M,65,19020,Avvocato
50,F,32,33050,Operaio
51,F,52,34149,Studente
52,M,28,80038,Data Analyst
53,M,16,45100,Studente
54,M,65,09010,Dirigente
55,F,58,21014,Avvocato
56,M,20,27024,Impiegato
57,M,41,21014,Musicista
58,M,41,30020,Operaio
59,F,29,40138,Dirigente
60,M,29,84070,Dirigente
61,M,39,56022,Programmatore
62,F,34,26100,Direttore
63,M,59,20020,Data Analyst
64,M,27,41058,Dirigente
65,M,45,73020,Avvocato
66,M,28,67069,Atleta
67,F,14,26010,Studente
68,M,20,84070,Data Analyst
69,F,57,22076,Dirigente
70,M,46,35124,Data Analyst
71,M,41,50055,Ingegnere
72,F,57,32030,Disoccupato
73,M,25,36012,Data Analyst
74,M,39,47030,Ingegnere
75,F,16,25043,Studente
76,M,11,36012,Studente
77,M,23,03100,Data Analyst
78,F,47,86020,Dirigente
79,F,63,67069,Disoccupato
80,M,28,65017,Dirigente
81,F,39,86020,Disoccupato
82,M,25,33030,Programmatore
83,F,40,64023,Operaio
84,M,31,76012,Data Analyst
85,M,13,36100,Studente
86,F,26,35010,Studente
87,M,26,47924,Ingegnere
88,F,65,35031,Dirigente
89,F,59,20139,Data Scientis
90,M,59,10126,Architetto
91,M,39,33013,Data Engineer
92,F,62,85024,Data Analyst
93,M,37,33050,Programmatore
94,M,36,85024,Programmatore
95,M,43,73020,Disoccupato
96,F,15,45100,Studente
97,F,56,64023,Direttore
98,F,48,61029,Data Engineer
99,F,23,30020,Studente
100,M,39,44121,Programmatore
101,F,36,72022,Direttore
102,M,57,25043,Musicista
103,M,48,45030,Data Engineer
104,M,56,33030,Avvocato
105,M,32,41058,Avvocato
106,F,14,41058,Studente
107,M,53,44121,Atleta
108,M,36,34149,Avvocato
109,M,64,25123,Autista
110,M,40,56022,Operaio
111,M,20,63100,Autista
112,M,24,33013,Attore
113,M,12,70026,Studente
114,F,38,12032,Operaio
115,M,33,10086,Programmatore
116,M,26,33048,Programmatore
117,M,35,33050,Programmatore
118,M,51,44121,Programmatore
119,F,18,36012,Studente
120,M,37,40061,Infermiere
121,M,53,72022,Data Engineer
122,F,41,26010,Data Analyst
123,M,41,09078,Data Scientis
124,M,40,90143,Data Engineer
125,M,60,32030,Ingegnere
126,M,16,15067,Studente
127,F,60,47030,Direttore
128,M,59,25043,Ricercatore
129,M,54,15063,Infermiere
130,M,40,87060,Programmatore
131,M,56,45030,Data Analyst
132,M,63,36100,Programmatore
133,F,24,01010,Disoccupato
134,M,50,15063,Disoccupato
135,M,9,15077,Studente
136,M,37,87060,Operaio
137,F,27,10086,Ricercatore
138,M,59,00125,Impiegato
139,F,62,72022,Impiegato
140,F,25,33050,Dirigente
141,M,42,72022,Architetto
142,M,58,90143,Data Engineer
143,M,26,24020,Direttore
144,M,15,61029,Studente
145,M,62,45100,Data Analyst
146,F,45,90143,Impiegato
147,M,27,24020,Data Analyst
148,M,29,65027,Programmatore
149,M,64,25043,Dirigente
150,M,33,33013,Data Engineer
151,F,25,21014,Impiegato
152,M,54,65017,Data Analyst
153,M,54,87060,Studente
154,M,49,14100,Impiegato
155,M,46,80038,Avvocato
156,F,29,90143,Data Engineer
157,M,42,95127,Attore
158,M,61,09099,Data Engineer
159,F,49,30020,Disoccupato
160,M,48,70037,Data Engineer
161,M,63,61029,Attore
162,F,9,35031,Studente
163,M,23,35010,Data Analyst
164,F,43,86020,Architetto
165,M,33,45030,Attore
166,M,37,44121,Data Analyst
167,F,44,00125,Infermiere
168,F,38,09010,Disoccupato
169,M,26,00018,Data Engineer
170,M,50,35124,Infermiere
171,F,28,35010,Programmatore
172,M,40,10126,Direttore
173,M,42,15077,Disoccupato
174,M,19,27024,Attore
175,F,51,36100,Operaio
176,F,11,25043,Studente
177,M,15,84070,Studente
178,M,46,61029,Programmatore
179,M,53,63100,Disoccupato
180,M,52,71032,Avvocato
181,M,17,26100,Studente
182,M,14,61029,Studente
183,F,57,36100,Dirigente
184,F,23,35124,Disoccupato
185,M,16,45100,Studente
186,M,17,33050,Studente
187,F,24,70026,Dirigente
188,M,62,36012,Attore
189,M,11,63100,Studente
190,M,55,85024,Programmatore
191,M,36,40061,Data Analyst
192,M,57,17021,Dirigente
193,F,24,72022,Autista
194,F,49,10086,Studente
195,M,16,01010,Studente
196,F,40,70026,Data Scientis
197,M,39,44020,Ingegnere
198,M,61,26100,Avvocato
199,M,63,20023,Data Analyst
200,F,36,35124,Data Analyst
201,F,46,10086,Operaio
202,M,36,36100,Data Analyst
203,F,41,33030,Data Analyst
204,M,45,84070,Data Engineer
205,M,13,70026,Studente
206,M,61,63100,Programmatore
207,M,54,44121,Avvocato
208,M,13,33050,Studente
209,M,16,15067,Studente
210,F,55,14025,Studente
211,M,26,19020,Programmatore
212,M,45,33030,Attore
213,F,37,09010,Data Analyst
214,M,51,19020,Impiegato
215,M,41,56022,Ingegnere
216,M,9,20020,Studente
217,M,43,64023,Data Analyst
218,M,26,80038,Ingegnere
219,F,32,25123,Data Analyst
220,M,21,33050,Avvocato
221,F,40,17021,Disoccupato
222,M,35,25043,Dirigente
223,M,44,95127,Programmatore
224,F,44,41058,Data Analyst
225,M,11,10126,Studente
226,M,55,47924,Dirigente
227,M,45,41058,Impiegato
228,M,51,36012,Autista
229,M,37,00153,Studente
230,M,64,50055,Dirigente
231,M,60,15063,Direttore
232,M,40,33048,Impiegato
233,F,13,15067,Studente
234,M,59,28887,Data Engineer
235,M,17,35010,Studente
236,M,41,01010,Insegnante
237,M,64,17021,Ricercatore
238,F,24,72022,Data Engineer
239,M,58,84070,Musicista
240,M,24,20131,Programmatore
241,M,54,15063,Impiegato
242,F,58,22072,Data Analyst
243,M,59,19020,Attore
244,M,48,67069,Data Engineer
245,M,54,20023,Attore
246,F,25,14025,Data Analyst
247,M,34,09078,Programmatore
248,M,64,35124,Programmatore
249,F,17,76012,Studente
250,M,39,27024,Attore
251,M,62,72022,Programmatore
252,M,39,17021,Avvocato
253,F,46,65017,Infermiere
254,M,33,35031,Programmatore
255,M,41,21014,Disoccupato
256,M,36,65027,Attore
257,M,18,20020,Atleta
258,M,40,03100,Data Engineer
259,M,12,84070,Studente
260,M,20,33050,Musicista
261,M,36,73020,Impiegato
262,F,10,83030,Studente
263,F,27,65027,Data Engineer
264,M,51,86020,Disoccupato
265,F,33,35010,Data Engineer
266,M,62,09078,Infermiere
267,M,42,33030,Avvocato
268,F,9,86020,Studente
269,M,49,73020,Operaio
270,M,40,76012,Ingegnere
271,M,55,01010,Data Analyst
272,M,57,35010,Disoccupato
273,M,17,95127,Studente
274,M,22,01010,Data Analyst
275,M,33,19020,Disoccupato
276,M,41,87060,Attore
277,F,19,20139,Dirigente
278,M,63,25123,Atleta
279,M,64,83030,Ingegnere
280,M,44,65017,Data Engineer
281,F,55,20023,Disoccupato
282,M,13,84070,Studente
283,M,53,25043,Disoccupato
284,M,48,22072,Avvocato
285,F,13,25123,Studente
286,M,49,65017,Dirigente
287,M,34,27024,Architetto
288,F,43,35010,Avvocato
289,F,18,71032,Disoccupato
290,F,14,45030,Studente
291,M,60,22076,Avvocato
292,M,28,15077,Data Engineer
293,M,19,47924,Dirigente
294,F,23,45030,Data Scientis
295,M,9,03100,Studente
296,M,43,47030,Insegnante
297,M,51,15067,Operaio
298,F,60,27024,Data Analyst
299,M,59,84070,Avvocato
300,M,43,63100,Data Engineer
301,M,36,65017,Data Analyst
302,M,35,27024,Data Analyst
303,M,37,25123,Data Engineer
304,M,15,35010,Studente
305,F,37,35010,Disoccupato
306,M,34,67069,Disoccupato
307,M,41,84070,Attore
308,M,38,65027,Operaio
309,M,42,83030,Data Analyst
310,F,23,65027,Data Analyst
311,M,61,33048,Data Analyst
312,F,50,15063,Operaio
313,F,22,14100,Data Analyst
314,F,20,87060,Data Scientis
315,F,15,72022,Studente
316,M,45,95127,Architetto
317,M,11,35010,Studente
318,F,13,86020,Studente
319,F,9,36100,Studente
320,M,21,65017,Ricercatore
321,M,15,76012,Studente
322,M,31,19020,Programmatore
323,M,13,47924,Studente
324,M,36,20139,Programmatore
325,F,64,84066,Direttore
326,M,35,47924,Infermiere
327,M,34,25123,Atleta
328,M,27,10126,Avvocato
329,M,22,70026,Data Engineer
330,M,25,26100,Data Engineer
331,M,46,63100,Data Engineer
332,M,11,12032,Studente
333,M,60,33050,Operaio
334,F,18,45030,Operaio
335,M,55,24020,Atleta
336,M,58,03100,Disoccupato
337,M,30,65017,Musicista
338,M,29,36012,Data Engineer
339,M,60,76012,Data Engineer
340,F,32,03100,Direttore
341,F,28,10086,Architetto
342,M,54,00125,Avvocato
343,F,55,01010,Direttore
344,M,21,17021,Ingegnere
345,M,45,21030,Avvocato
346,F,52,09078,Disoccupato
347,F,30,22076,Dirigente
348,M,43,65017,Data Engineer
349,M,50,09010,Studente
350,M,21,01010,Impiegato
351,M,30,87060,Data Analyst
352,M,40,76012,Data Analyst
353,F,55,80038,Data Engineer
354,M,16,71032,Studente
355,M,42,85024,Direttore
356,M,58,45030,Impiegato
357,M,49,17021,Disoccupato
358,F,15,19020,Studente
359,M,17,15067,Studente
360,M,13,70037,Studente
361,F,62,20020,Ingegnere
362,M,32,47924,Impiegato
363,M,35,65017,Studente
364,F,25,21014,Dirigente
365,F,50,44020,Data Analyst
366,M,47,24020,Autista
367,M,15,80038,Studente
368,M,59,03100,Disoccupato
369,M,35,35010,Dirigente
370,M,37,36100,Programmatore
371,M,52,35010,Data Analyst
372,F,11,20131,Studente
373,F,10,19020,Studente
374,F,13,84066,Studente
375,M,45,76012,Operaio
376,M,37,19020,Dirigente
377,M,23,00018,Programmatore
378,F,46,15077,Disoccupato
379,F,44,33013,Dirigente
380,M,13,87060,Studente
381,M,64,20023,Programmatore
382,F,22,95127,Impiegato
383,F,25,19020,Data Engineer
384,M,26,24020,Infermiere
385,M,19,95127,Ricercatore
386,M,48,35010,Disoccupato
387,F,27,86020,Data Engineer
388,F,17,36100,Studente
389,M,11,34149,Studente
390,M,15,33013,Studente
391,M,36,84070,Infermiere
392,M,40,33050,Data Engineer
393,M,16,15063,Studente
394,M,34,70026,Disoccupato
395,M,9,21014,Studente
396,M,48,01010,Dirigente
397,M,27,95127,Programmatore
398,M,45,65017,Programmatore
399,F,39,26100,Ricercatore
400,F,44,03100,Direttore
401,M,20,36100,Disoccupato
402,M,16,35010,Studente
403,M,14,90143,Studente
404,M,31,25123,Data Analyst
405,M,28,15067,Dirigente
406,M,55,72022,Impiegato
407,M,58,09099,Programmatore
408,M,21,15077,Infermiere
409,M,52,36100,Avvocato
410,F,35,36012,Dirigente
411,F,18,27024,Dirigente
412,M,11,80038,Studente
413,M,50,64023,Infermiere
414,M,58,09078,Disoccupato
415,F,21,61029,Disoccupato
416,M,23,33013,Ingegnere
417,F,27,09010,Disoccupato
418,F,50,80038,Direttore
419,M,49,50055,Direttore
420,M,49,47924,Dirigente
421,F,36,09078,Direttore
422,M,54,21030,Programmatore
423,M,29,20131,Data Analyst
424,M,19,00125,Programmatore
425,M,39,73020,Avvocato
426,M,9,71032,Studente
427,M,52,22076,Avvocato
428,F,34,17021,Data Analyst
429,M,30,35010,Disoccupato
430,F,22,40138,Studente
431,M,42,44020,Studente
432,M,51,41058,Attore
433,M,18,33050,Ricercatore
434,F,31,33030,Direttore
435,M,40,22072,Data Engineer
436,M,40,86020,Data Analyst
437,M,32,14025,Programmatore
438,M,34,26010,Infermiere
439,M,56,15077,Ingegnere
440,M,60,33013,Dirigente
441,M,63,24020,Dirigente
442,M,40,15067,Dirigente
443,M,35,33030,Direttore
444,M,46,03100,Disoccupato
445,M,57,84066,Avvocato
446,F,35,33050,Disoccupato
447,F,13,33013,Studente
448,M,65,20023,Programmatore
449,M,13,84066,Studente
450,M,61,15063,Dirigente
451,M,57,15077,Architetto
452,M,24,20139,Programmatore
453,M,49,34149,Data Analyst
454,M,18,09010,Impiegato
455,F,33,30020,Operaio
456,M,45,67069,Disoccupato
457,M,34,00061,Data Analyst
458,M,52,67069,Attore
459,F,22,21030,Data Analyst
460,M,39,86020,Atleta
461,M,25,67069,Data Engineer
462,M,65,09099,Attore
463,M,41,14100,Data Engineer
464,F,43,33048,Data Analyst
465,M,33,22072,Musicista
466,M,59,73020,Insegnante
467,F,24,84066,Direttore
468,F,54,95127,Studente
469,M,16,44020,Studente
470,F,61,95127,Studente
471,M,38,20139,Data Engineer
472,M,16,20139,Studente
473,F,38,20131,Data Analyst
474,M,32,19020,Programmatore
475,F,41,44121,Operaio
476,M,12,47924,Studente
477,M,40,45030,Ingegnere
478,M,36,26010,Attore
479,M,51,22072,Avvocato
480,F,54,26100,Data Analyst
481,M,51,47030,Data Engineer
482,M,40,30020,Ingegnere
483,M,22,22072,Avvocato
484,F,37,20023,Studente
485,M,58,40061,Data Engineer
486,M,58,72022,Disoccupato
487,F,21,70037,Programmatore
488,M,53,70026,Avvocato
489,M,64,35031,Data Analyst
490,M,11,65017,Studente
491,M,64,15067,Data Analyst
492,M,28,80038,Avvocato
493,M,11,33013,Studente
494,F,36,35010,Disoccupato
495,M,27,33048,Studente
496,M,9,09010,Studente
497,F,29,10126,Programmatore
498,M,35,56022,Programmatore
499,F,12,45030,Studente
500,F,28,70026,Operaio
501,M,23,20139,Operaio
502,M,33,44121,Ricercatore
503,M,46,45030,Infermiere
504,M,9,95127,Studente
505,M,33,67069,Programmatore
506,M,29,47030,Attore
507,F,33,20020,Disoccupato
508,M,12,36012,Studente
509,M,24,64023,Operaio
510,M,51,95127,Avvocato
511,F,26,15063,Data Analyst
512,M,25,65027,Disoccupato
513,M,22,35124,Disoccupato
514,M,57,12032,Operaio
515,M,57,15067,Dirigente
516,F,51,35010,Ingegnere
517,F,11,35010,Studente
518,F,55,28887,Avvocato
519,F,51,36100,Ingegnere
520,F,23,40061,Impiegato
521,M,9,33030,Studente
522,M,48,63100,Avvocato
523,M,40,71032,Data Engineer
524,M,30,70026,Disoccupato
525,M,36,20020,Ricercatore
526,M,11,21030,Studente
527,F,53,65027,Operaio
528,F,23,45100,Programmatore
529,M,58,21014,Avvocato
530,M,25,72022,Operaio
531,F,41,30020,Ingegnere
532,M,46,73020,Data Engineer
533,M,36,09099,Avvocato
534,M,10,83030,Studente
535,M,65,22076,Ricercatore
536,M,40,67069,Impiegato
537,M,24,84070,Ingegnere
538,M,52,33050,Attore
539,M,24,87060,Operaio
540,M,16,14025,Studente
541,F,15,65027,Studente
542,M,13,35010,Studente
543,M,11,10126,Studente
544,M,22,70037,Avvocato
545,M,12,14100,Studente
546,F,42,22076,Disoccupato
547,M,44,15067,Avvocato
548,F,21,71032,Attore
549,M,44,47924,Ricercatore
550,M,10,22072,Studente
551,M,47,47924,Impiegato
552,M,36,47030,Atleta
553,M,31,20131,Operaio
554,M,14,40138,Studente
555,M,9,70037,Studente
556,F,59,73020,Data Scientis
557,M,45,95127,Dirigente
558,M,43,50055,Impiegato
559,F,47,22076,Data Engineer
560,M,42,35010,Autista
561,F,19,36012,Ingegnere
562,M,10,50055,Studente
563,M,38,09010,Data Analyst
564,M,41,33048,Dirigente
565,M,48,15063,Attore
566,M,43,17021,Programmatore
567,M,47,56022,Impiegato
568,F,35,03100,Programmatore
569,F,43,36100,Data Analyst
570,M,38,35010,Data Analyst
571,M,58,09010,Insegnante
572,M,18,14025,Data Analyst
573,F,57,84066,Operaio
574,M,54,72022,Musicista
575,M,54,40061,Avvocato
576,F,25,34149,Autista
577,M,55,47924,Disoccupato
578,M,36,33048,Programmatore
579,M,28,27024,Insegnante
580,M,36,83030,Studente
581,M,57,20020,Ingegnere
582,M,44,21014,Data Analyst
583,F,37,17021,Disoccupato
584,F,26,03100,Disoccupato
585,M,49,25043,Dirigente
586,M,60,09010,Ingegnere
587,M,17,00153,Studente
588,F,29,84070,Infermiere
589,M,44,84070,Operaio
590,F,51,00125,Ricercatore
591,M,52,84066,Disoccupato
592,M,46,25043,Disoccupato
593,F,35,71032,Dirigente
594,F,30,67069,Architetto
595,M,38,72022,Data Engineer
596,F,35,26010,Dirigente
597,M,25,35010,Avvocato
598,M,58,47030,Data Engineer
599,M,47,20131,Ricercatore
600,M,24,33050,Programmatore
601,F,42,84070,Impiegato
602,F,12,19020,Studente
603,F,35,25043,Ricercatore
604,M,62,25123,Programmatore
605,F,14,20023,Studente
606,F,51,01010,Studente
607,M,28,25043,Disoccupato
608,M,62,14100,Data Analyst
609,M,50,83030,Data Engineer
610,M,11,64023,Studente
611,M,31,15077,Disoccupato
612,M,49,10086,Data Engineer
613,M,47,95127,Impiegato
614,M,35,35031,Dirigente
615,M,61,61029,Programmatore
616,M,56,44121,Data Engineer
617,F,41,12032,Data Engineer
618,M,14,09010,Studente
619,F,36,01010,Dirigente
620,M,20,32030,Disoccupato
621,M,19,50055,Data Analyst
622,M,63,73020,Disoccupato
623,M,33,12032,Programmatore
624,M,36,00153,Dirigente
625,F,50,20139,Avvocato
626,M,58,44020,Data Analyst
627,M,16,10086,Studente
628,F,44,76012,Disoccupato
629,F,55,00153,Studente
630,F,32,01010,Ingegnere
631,M,20,28887,Programmatore
632,M,30,72022,Programmatore
633,M,53,47030,Programmatore
634,F,51,22072,Studente
635,M,14,20139,Studente
636,M,53,00125,Impiegato
637,M,57,70037,Avvocato
638,M,23,56022,Ricercatore
639,M,30,24020,Programmatore
640,M,44,40061,Data Analyst
641,F,18,21030,Disoccupato
642,F,48,36012,Dirigente
643,M,64,00125,Operaio
644,M,36,65027,Impiegato
645,M,32,20023,Impiegato
646,M,47,44020,Data Engineer
647,M,62,61029,Avvocato
648,F,29,40061,Avvocato
649,M,36,27024,Data Analyst
650,M,34,10086,Programmatore
651,M,21,95127,Data Engineer
652,M,35,71032,Impiegato
653,M,39,47924,Architetto
654,M,19,00018,Data Engineer
655,F,23,26010,Operaio
656,F,23,35031,Attore
657,F,33,67069,Architetto
658,F,16,33050,Studente
659,F,35,36100,Disoccupato
660,M,23,65017,Attore
661,M,12,45030,Studente
662,M,16,14100,Studente
663,F,21,84070,Data Engineer
664,M,42,70026,Atleta
665,M,28,15077,Operaio
666,F,59,41058,Disoccupato
667,M,17,35010,Studente
668,F,53,03100,Direttore
669,M,19,35010,Programmatore
670,M,47,09078,Avvocato
671,M,31,63100,Data Analyst
672,M,33,83030,Data Engineer
673,M,36,20139,Impiegato
674,M,64,22076,Programmatore
675,M,57,27024,Impiegato
676,M,45,65027,Attore
677,M,61,34149,Operaio
678,M,54,22076,Disoccupato
679,M,34,17021,Attore
680,M,24,90143,Avvocato
681,M,53,14100,Data Engineer
682,M,30,72022,Data Analyst
683,M,58,47030,Data Analyst
684,M,16,32030,Studente
685,M,62,26100,Data Analyst
686,M,59,45030,Data Analyst
687,F,34,40138,Data Engineer
688,M,29,50055,Architetto
689,F,51,65017,Disoccupato
690,M,17,83030,Studente
691,M,32,84066,Infermiere
692,F,44,30020,Disoccupato
693,M,62,45030,Avvocato
694,M,23,95127,Data Analyst
695,F,61,33030,Dirigente
696,M,53,22072,Avvocato
697,F,51,64023,Ricercatore
698,M,52,10126,Data Analyst
